,customer_id,email,email_local,email_domain
0,10000,user10000@example.com,user10000,example.com
1,10001,user10001@example.com,user10001,example.com
2,10002,user10002@example.com,user10002,example.com
3,10003,user10003@example.com,user10003,example.com
4,10004,user10004@example.com,user10004,example.com
5,10005,user10005@example.com,user10005,example.com
6,10006,user10006@example.com,user10006,example.com
7,10007,user10007@example.com,user10007,example.com
8,10008,user10008@example.com,user10008,example.com
9,10009,user10009@example.com,user10009,example.com
10,10010,user10010@example.com,user10010,example.com
11,10011,user10011@example.com,user10011,example.com
12,10012,user10012@example.com,user10012,example.com
13,10013,user10013@example.com,user10013,example.com
14,10014,user10014@example.com,user10014,example.com
15,10015,user10015@example.com,user10015,example.com
16,10016,user10016@example.com,user10016,example.com
17,10017,user10017@example.com,user10017,example.com
18,10018,user10018@example.com,user10018,example.com
19,10019,user10019@example.com,user10019,example.com
20,10020,user10020@example.com,user10020,example.com
21,10021,user10021@example.com,user10021,example.com
22,10022,user10022@example.com,user10022,example.com
23,10023,user10023@example.com,user10023,example.com
24,10024,user10024@example.com,user10024,example.com
25,10025,user10025@example.com,user10025,example.com
26,10026,user10026@example.com,user10026,example.com
27,10027,user10027@example.com,user10027,example.com
28,10028,user10028@example.com,user10028,example.com
29,10029,user10029@example.com,user10029,example.com
30,10030,user10030@example.com,user10030,example.com
31,10031,user10031@example.com,user10031,example.com
32,10032,user10032@example.com,user10032,example.com
33,10033,user10033@example.com,user10033,example.com
34,10034,user10034@example.com,user10034,example.com
35,10035,user10035@example.com,user10035,example.com
36,10036,user10036@example.com,user10036,example.com
37,10037,user10037@example.com,user10037,example.com
38,10038,user10038@example.com,user10038,example.com
39,10039,user10039@example.com,user10039,example.com
40,10040,user10040@example.com,user10040,example.com
41,10041,user10041@example.com,user10041,example.com
42,10042,user10042@example.com,user10042,example.com
43,10043,user10043@example.com,user10043,example.com
44,10044,user10044@example.com,user10044,example.com
45,10045,user10045@example.com,user10045,example.com
46,10046,user10046@example.com,user10046,example.com
47,10047,user10047@example.com,user10047,example.com
48,10048,user10048@example.com,user10048,example.com
49,10049,user10049@example.com,user10049,example.com
50,10050,user10050@example.com,user10050,example.com
51,10051,user10051@example.com,user10051,example.com
52,10052,user10052@example.com,user10052,example.com
53,10053,user10053@example.com,user10053,example.com
54,10054,user10054@example.com,user10054,example.com
55,10055,user10055@example.com,user10055,example.com
56,10056,user10056@example.com,user10056,example.com
57,10057,user10057@example.com,user10057,example.com
58,10058,user10058@example.com,user10058,example.com
59,10059,user10059@example.com,user10059,example.com
60,10060,user10060@example.com,user10060,example.com
61,10061,user10061@example.com,user10061,example.com
62,10062,user10062@example.com,user10062,example.com
63,10063,user10063@example.com,user10063,example.com
64,10064,user10064@example.com,user10064,example.com
65,10065,user10065@example.com,user10065,example.com
66,10066,user10066@example.com,user10066,example.com
67,10067,user10067@example.com,user10067,example.com
68,10068,user10068@example.com,user10068,example.com
69,10069,user10069@example.com,user10069,example.com
70,10070,user10070@example.com,user10070,example.com
71,10071,user10071@example.com,user10071,example.com
72,10072,user10072@example.com,user10072,example.com
73,10073,user10073@example.com,user10073,example.com
74,10074,user10074@example.com,user10074,example.com
75,10075,user10075@example.com,user10075,example.com
76,10076,user10076@example.com,user10076,example.com
77,10077,user10077@example.com,user10077,example.com
78,10078,user10078@example.com,user10078,example.com
79,10079,user10079@example.com,user10079,example.com
80,10080,user10080@example.com,user10080,example.com
81,10081,user10081@example.com,user10081,example.com
82,10082,user10082@example.com,user10082,example.com
83,10083,user10083@example.com,user10083,example.com
84,10084,user10084@example.com,user10084,example.com
85,10085,user10085@example.com,user10085,example.com
86,10086,user10086@example.com,user10086,example.com
87,10087,user10087@example.com,user10087,example.com
88,10088,user10088@example.com,user10088,example.com
89,10089,user10089@example.com,user10089,example.com
90,10090,user10090@example.com,user10090,example.com
91,10091,user10091@example.com,user10091,example.com
92,10092,user10092@example.com,user10092,example.com
93,10093,user10093@example.com,user10093,example.com
94,10094,user10094@example.com,user10094,example.com
95,10095,user10095@example.com,user10095,example.com
96,10096,user10096@example.com,user10096,example.com
97,10097,user10097@example.com,user10097,example.com
98,10098,user10098@example.com,user10098,example.com
99,10099,user10099@example.com,user10099,example.com
100,10100,user10100@example.com,user10100,example.com
101,10101,user10101@example.com,user10101,example.com
102,10102,user10102@example.com,user10102,example.com
103,10103,user10103@example.com,user10103,example.com
104,10104,user10104@example.com,user10104,example.com
105,10105,user10105@example.com,user10105,example.com
106,10106,user10106@example.com,user10106,example.com
107,10107,user10107@example.com,user10107,example.com
108,10108,user10108@example.com,user10108,example.com
109,10109,user10109@example.com,user10109,example.com
110,10110,user10110@example.com,user10110,example.com
111,10111,user10111@example.com,user10111,example.com
112,10112,user10112@example.com,user10112,example.com
113,10113,user10113@example.com,user10113,example.com
114,10114,user10114@example.com,user10114,example.com
115,10115,user10115@example.com,user10115,example.com
116,10116,user10116@example.com,user10116,example.com
117,10117,user10117@example.com,user10117,example.com
118,10118,user10118@example.com,user10118,example.com
119,10119,user10119@example.com,user10119,example.com
120,10120,user10120@example.com,user10120,example.com
121,10121,user10121@example.com,user10121,example.com
122,10122,user10122@example.com,user10122,example.com
